               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037008,            0.014725,            0.006286,             0.33458,             0.84488,             0.45172,             0.21846,            0.029366,           0.0050792,             0.10937,            0.006535,            0.006535,            0.006535
                  37,            0.036119,            0.015614,           0.0085175,             0.34072,             0.74819,             0.45229,             0.21457,            0.030722,           0.0053884,             0.10733,            0.006436,            0.006436,            0.006436
                  38,            0.030881,            0.014645,           0.0066889,             0.32678,             0.67548,             0.43087,             0.21904,            0.034236,           0.0050304,             0.10293,            0.006337,            0.006337,            0.006337
                  39,            0.036237,            0.015294,           0.0071753,             0.30274,             0.74787,             0.46832,             0.24504,            0.031446,           0.0049118,            0.098127,            0.006238,            0.006238,            0.006238
                  40,            0.030909,            0.014507,           0.0077922,             0.36221,             0.75565,              0.4629,             0.23447,            0.031206,           0.0052547,             0.10077,            0.006139,            0.006139,            0.006139
                  41,            0.031848,            0.015171,           0.0081483,              0.3106,              0.7855,             0.41106,             0.20493,            0.029383,           0.0052036,             0.10131,             0.00604,             0.00604,             0.00604
                  42,             0.03318,            0.014499,           0.0088731,             0.33595,             0.78518,             0.43985,             0.24007,            0.030058,           0.0051497,             0.10378,            0.005941,            0.005941,            0.005941
                  43,            0.031084,            0.013737,           0.0076151,             0.29504,             0.74041,              0.4162,             0.20908,            0.030889,            0.005292,             0.10848,            0.005842,            0.005842,            0.005842
                  44,            0.028672,            0.014282,           0.0072117,             0.35096,             0.76247,             0.46947,              0.2444,            0.027907,           0.0051062,             0.10654,            0.005743,            0.005743,            0.005743
                  45,            0.031038,            0.013674,           0.0079267,             0.28967,             0.75565,             0.41078,             0.21192,            0.027792,           0.0052467,             0.10543,            0.005644,            0.005644,            0.005644
                  46,            0.034921,            0.015288,           0.0085097,             0.33675,             0.78454,              0.4267,             0.22428,            0.026239,           0.0052028,             0.10632,            0.005545,            0.005545,            0.005545
                  47,            0.030549,            0.013763,           0.0064162,               0.361,             0.73422,               0.441,             0.23432,             0.02785,           0.0053513,             0.10669,            0.005446,            0.005446,            0.005446
                  48,            0.025346,             0.01405,            0.006876,             0.34687,             0.62516,             0.39632,             0.20058,            0.031521,            0.005663,             0.10503,            0.005347,            0.005347,            0.005347
